time	Mesure température utile TIC0100
2015-11-24 07:33:40	1194.76
2015-11-24 07:33:41	1194.95
2015-11-24 07:33:42	1195.04
2015-11-24 07:33:43	1195.18
2015-11-24 07:33:44	1195.3
2015-11-24 07:33:45	1195.48
2015-11-24 07:33:46	1195.63
2015-11-24 07:33:47	1195.87
2015-11-24 07:33:48	1196.1
2015-11-24 07:33:49	1196.32
2015-11-24 07:33:50	1196.51
2015-11-24 07:33:51	1196.53
2015-11-24 07:33:52	1196.62
2015-11-24 07:33:53	1196.72
2015-11-24 07:33:54	1196.87
2015-11-24 07:33:55	1197.02
2015-11-24 07:33:56	1197.05
2015-11-24 07:33:57	1197.19
2015-11-24 07:33:58	1197.31
2015-11-24 07:33:59	1197.44
2015-11-24 07:34:00	1197.64
2015-11-24 07:34:01	1197.83
2015-11-24 07:34:02	1197.97
2015-11-24 07:34:03	1198.1
2015-11-24 07:34:04	1198.26
2015-11-24 07:34:05	1198.55
2015-11-24 07:34:06	1198.66
2015-11-24 07:34:07	1198.8
2015-11-24 07:34:08	1198.92
2015-11-24 07:34:09	1198.97
2015-11-24 07:34:10	1199.04
2015-11-24 07:34:11	1199.16
2015-11-24 07:34:12	1199.22
2015-11-24 07:34:13	1199.25
2015-11-24 07:34:14	1199.28
2015-11-24 07:34:15	1199.32
2015-11-24 07:34:16	1199.26
2015-11-24 07:34:17	1199.24
2015-11-24 07:34:18	1199.17
2015-11-24 07:34:19	1199.1
2015-11-24 07:34:20	1199.06
2015-11-24 07:34:21	1199.07
2015-11-24 07:34:22	1198.97
2015-11-24 07:34:23	1198.88
2015-11-24 07:34:24	1198.84
2015-11-24 07:34:25	1198.8
2015-11-24 07:34:26	1198.78
2015-11-24 07:34:27	1198.8
2015-11-24 07:34:28	1198.77
2015-11-24 07:34:29	1198.8
2015-11-24 07:34:30	1198.75
2015-11-24 07:34:31	1198.7
2015-11-24 07:34:32	1198.73
2015-11-24 07:34:33	1198.64
2015-11-24 07:34:34	1198.55
2015-11-24 07:34:35	1198.52
2015-11-24 07:34:36	1198.44
2015-11-24 07:34:37	1198.39
2015-11-24 07:34:38	1198.35
2015-11-24 07:34:39	1198.28
2015-11-24 07:34:40	1198.22
2015-11-24 07:34:41	1198.18
2015-11-24 07:34:42	1198.15
2015-11-24 07:34:43	1198.12
2015-11-24 07:34:44	1198.07
2015-11-24 07:34:45	1198.08
2015-11-24 07:34:46	1198.05
2015-11-24 07:34:47	1198.0
2015-11-24 07:34:48	1197.94
2015-11-24 07:34:49	1197.88
2015-11-24 07:34:50	1197.82
2015-11-24 07:34:51	1197.77
2015-11-24 07:34:52	1197.75
2015-11-24 07:34:53	1197.77
2015-11-24 07:34:54	1197.81
2015-11-24 07:34:55	1197.72
2015-11-24 07:34:56	1197.71
2015-11-24 07:34:57	1197.65
2015-11-24 07:34:58	1197.64
2015-11-24 07:34:59	1197.71
2015-11-24 07:35:00	1197.77
2015-11-24 07:35:01	1197.9
2015-11-24 07:35:02	1197.96
2015-11-24 07:35:03	1198.08
2015-11-24 07:35:04	1198.25
2015-11-24 07:35:05	1198.39
2015-11-24 07:35:06	1198.51
2015-11-24 07:35:07	1198.65
2015-11-24 07:35:08	1198.76
2015-11-24 07:35:09	1198.93
2015-11-24 07:35:10	1199.1
2015-11-24 07:35:11	1199.28
2015-11-24 07:35:12	1199.4
2015-11-24 07:35:13	1199.61
2015-11-24 07:35:14	1199.81
2015-11-24 07:35:15	1199.99
2015-11-24 07:35:16	1200.09
2015-11-24 07:35:17	1200.21
2015-11-24 07:35:18	1200.35
2015-11-24 07:35:19	1200.46
2015-11-24 07:35:20	1200.58
2015-11-24 07:35:21	1200.74
2015-11-24 07:35:22	1200.93
2015-11-24 07:35:23	1201.16
2015-11-24 07:35:24	1201.31
2015-11-24 07:35:25	1201.51
2015-11-24 07:35:26	1201.69
2015-11-24 07:35:27	1201.92
2015-11-24 07:35:28	1202.0
2015-11-24 07:35:29	1202.34
2015-11-24 07:35:30	1202.61
2015-11-24 07:35:31	1202.92
2015-11-24 07:35:32	1203.22
2015-11-24 07:35:33	1203.53
2015-11-24 07:35:34	1203.82
2015-11-24 07:35:35	1203.97
2015-11-24 07:35:36	1204.11
2015-11-24 07:35:37	1204.23
2015-11-24 07:35:38	1204.41
2015-11-24 07:35:39	1204.62
2015-11-24 07:35:40	1204.74
2015-11-24 07:35:41	1204.92
2015-11-24 07:35:42	1205.36
2015-11-24 07:35:43	1205.59
2015-11-24 07:35:44	1205.7
2015-11-24 07:35:45	1205.89
2015-11-24 07:35:46	1205.85
2015-11-24 07:35:47	1205.78
2015-11-24 07:35:48	1205.75
2015-11-24 07:35:49	1205.71
2015-11-24 07:35:50	1205.67
2015-11-24 07:35:51	1205.67
2015-11-24 07:35:52	1205.58
2015-11-24 07:35:53	1205.39
2015-11-24 07:35:54	1205.23
2015-11-24 07:35:55	1205.14
2015-11-24 07:35:56	1204.91
2015-11-24 07:35:57	1204.58
2015-11-24 07:35:58	1204.16
2015-11-24 07:35:59	1203.77
2015-11-24 07:36:00	1203.37
2015-11-24 07:36:01	1202.9
2015-11-24 07:36:02	1202.49
2015-11-24 07:36:03	1201.98
2015-11-24 07:36:04	1201.53
2015-11-24 07:36:05	1200.96
2015-11-24 07:36:06	1200.35
2015-11-24 07:36:07	1199.67
2015-11-24 07:36:08	1199.05
2015-11-24 07:36:09	1198.45
2015-11-24 07:36:10	1197.85
2015-11-24 07:36:11	1197.28
2015-11-24 07:36:12	1196.64
2015-11-24 07:36:13	1196.0
2015-11-24 07:36:14	1195.43
2015-11-24 07:36:15	1194.84
2015-11-24 07:36:16	1194.33
2015-11-24 07:36:17	1193.78
2015-11-24 07:36:18	1193.16
2015-11-24 07:36:19	1192.63
2015-11-24 07:36:20	1192.1
2015-11-24 07:36:21	1191.55
2015-11-24 07:36:22	1190.99
2015-11-24 07:36:23	1190.42
2015-11-24 07:36:24	1189.97
2015-11-24 07:36:25	1189.62
2015-11-24 07:36:26	1189.18
2015-11-24 07:36:27	1188.73
2015-11-24 07:36:28	1188.23
2015-11-24 07:36:29	1187.77
2015-11-24 07:36:30	1187.24
2015-11-24 07:36:31	1186.76
2015-11-24 07:36:32	1186.28
2015-11-24 07:36:33	1185.85
2015-11-24 07:36:34	1185.42
2015-11-24 07:36:35	1185.13
2015-11-24 07:36:36	1184.86
2015-11-24 07:36:37	1184.58
2015-11-24 07:36:38	1184.24
2015-11-24 07:36:39	1183.9
2015-11-24 07:36:40	1183.6
2015-11-24 07:36:41	1183.28
2015-11-24 07:36:42	1183.08
2015-11-24 07:36:43	1182.84
2015-11-24 07:36:44	1182.64
2015-11-24 07:36:45	1182.37
2015-11-24 07:36:46	1182.19
2015-11-24 07:36:47	1181.99
2015-11-24 07:36:48	1181.96
2015-11-24 07:36:49	1181.75
2015-11-24 07:36:50	1181.57
2015-11-24 07:36:51	1181.41
2015-11-24 07:36:52	1181.3
2015-11-24 07:36:53	1181.1
2015-11-24 07:36:54	1180.87
2015-11-24 07:36:55	1180.75
2015-11-24 07:36:56	1180.7
2015-11-24 07:36:57	1180.62
2015-11-24 07:36:58	1180.52
2015-11-24 07:36:59	1180.5
2015-11-24 07:37:00	1180.53
2015-11-24 07:37:01	1180.5
2015-11-24 07:37:02	1180.38
2015-11-24 07:37:03	1180.28
2015-11-24 07:37:04	1180.26
2015-11-24 07:37:05	1180.25
2015-11-24 07:37:06	1180.22
2015-11-24 07:37:07	1180.27
2015-11-24 07:37:08	1180.33
2015-11-24 07:37:09	1180.45
2015-11-24 07:37:10	1180.62
2015-11-24 07:37:11	1180.77
2015-11-24 07:37:12	1180.9
2015-11-24 07:37:13	1180.97
2015-11-24 07:37:14	1181.06
2015-11-24 07:37:15	1181.25
2015-11-24 07:37:16	1181.38
2015-11-24 07:37:17	1181.45
2015-11-24 07:37:18	1181.49
2015-11-24 07:37:19	1181.5
2015-11-24 07:37:20	1181.55
2015-11-24 07:37:21	1181.59
2015-11-24 07:37:22	1181.71
2015-11-24 07:37:23	1181.79
2015-11-24 07:37:24	1181.77
2015-11-24 07:37:25	1181.86
2015-11-24 07:37:26	1181.93
2015-11-24 07:37:27	1181.96
2015-11-24 07:37:28	1182.1
2015-11-24 07:37:29	1182.15
2015-11-24 07:37:30	1182.15
