time	Mesure débit FIC0501 - FT0501
2015-11-24 07:33:40	2411.83
2015-11-24 07:33:41	2409.79
2015-11-24 07:33:42	2401.69
2015-11-24 07:33:43	2392.75
2015-11-24 07:33:44	2392.63
2015-11-24 07:33:45	2384.82
2015-11-24 07:33:46	2377.33
2015-11-24 07:33:47	2371.89
2015-11-24 07:33:48	2362.38
2015-11-24 07:33:49	2367.84
2015-11-24 07:33:50	2359.24
2015-11-24 07:33:51	2355.27
2015-11-24 07:33:52	2348.96
2015-11-24 07:33:53	2336.78
2015-11-24 07:33:54	2337.36
2015-11-24 07:33:55	2339.74
2015-11-24 07:33:56	2341.84
2015-11-24 07:33:57	2341.3
2015-11-24 07:33:58	2338.85
2015-11-24 07:33:59	2339.78
2015-11-24 07:34:00	2334.22
2015-11-24 07:34:01	2326.6
2015-11-24 07:34:02	2324.24
2015-11-24 07:34:03	2321.57
2015-11-24 07:34:04	2325.48
2015-11-24 07:34:05	2333.68
2015-11-24 07:34:06	2336.09
2015-11-24 07:34:07	2340.93
2015-11-24 07:34:08	2337.17
2015-11-24 07:34:09	2341.61
2015-11-24 07:34:10	2339.05
2015-11-24 07:34:11	2338.01
2015-11-24 07:34:12	2339.03
2015-11-24 07:34:13	2344.97
2015-11-24 07:34:14	2335.43
2015-11-24 07:34:15	2317.49
2015-11-24 07:34:16	2296.83
2015-11-24 07:34:17	2298.14
2015-11-24 07:34:18	2297.7
2015-11-24 07:34:19	2298.11
2015-11-24 07:34:20	2293.17
2015-11-24 07:34:21	2291.91
2015-11-24 07:34:22	2293.47
2015-11-24 07:34:23	2291.75
2015-11-24 07:34:24	2294.32
2015-11-24 07:34:25	2294.72
2015-11-24 07:34:26	2287.67
2015-11-24 07:34:27	2268.65
2015-11-24 07:34:28	2274.08
2015-11-24 07:34:29	2282.24
2015-11-24 07:34:30	2279.99
2015-11-24 07:34:31	2269.73
2015-11-24 07:34:32	2279.6
2015-11-24 07:34:33	2286.1
2015-11-24 07:34:34	2290.35
2015-11-24 07:34:35	2290.37
2015-11-24 07:34:36	2292.1
2015-11-24 07:34:37	2287.12
2015-11-24 07:34:38	2289.24
2015-11-24 07:34:39	2313.61
2015-11-24 07:34:40	2341.83
2015-11-24 07:34:41	2383.32
2015-11-24 07:34:42	2419.87
2015-11-24 07:34:43	2441.85
2015-11-24 07:34:44	2446.71
2015-11-24 07:34:45	2458.57
2015-11-24 07:34:46	2459.21
2015-11-24 07:34:47	2470.08
2015-11-24 07:34:48	2478.5
2015-11-24 07:34:49	2517.58
2015-11-24 07:34:50	2545.26
2015-11-24 07:34:51	2555.95
2015-11-24 07:34:52	2570.17
2015-11-24 07:34:53	2579.04
2015-11-24 07:34:54	2578.59
2015-11-24 07:34:55	2582.39
2015-11-24 07:34:56	2574.79
2015-11-24 07:34:57	2567.99
2015-11-24 07:34:58	2555.53
2015-11-24 07:34:59	2541.43
2015-11-24 07:35:00	2538.04
2015-11-24 07:35:01	2526.67
2015-11-24 07:35:02	2526.18
2015-11-24 07:35:03	2522.2
2015-11-24 07:35:04	2522.05
2015-11-24 07:35:05	2518.89
2015-11-24 07:35:06	2511.0
2015-11-24 07:35:07	2523.8
2015-11-24 07:35:08	2528.01
2015-11-24 07:35:09	2527.47
2015-11-24 07:35:10	2526.66
2015-11-24 07:35:11	2530.72
2015-11-24 07:35:12	2538.19
2015-11-24 07:35:13	2544.36
2015-11-24 07:35:14	2556.42
2015-11-24 07:35:15	2567.19
2015-11-24 07:35:16	2573.23
2015-11-24 07:35:17	2565.61
2015-11-24 07:35:18	2571.07
2015-11-24 07:35:19	2577.12
2015-11-24 07:35:20	2606.95
2015-11-24 07:35:21	2627.71
2015-11-24 07:35:22	2636.49
2015-11-24 07:35:23	2638.25
2015-11-24 07:35:24	2672.27
2015-11-24 07:35:25	2711.95
2015-11-24 07:35:26	2734.57
2015-11-24 07:35:27	2750.17
2015-11-24 07:35:28	2754.85
2015-11-24 07:35:29	2758.83
2015-11-24 07:35:30	2765.07
2015-11-24 07:35:31	2765.89
2015-11-24 07:35:32	2770.79
2015-11-24 07:35:33	2770.69
2015-11-24 07:35:34	2779.67
2015-11-24 07:35:35	2798.4
2015-11-24 07:35:36	2810.49
2015-11-24 07:35:37	2817.58
2015-11-24 07:35:38	2822.47
2015-11-24 07:35:39	2822.75
2015-11-24 07:35:40	2831.39
2015-11-24 07:35:41	2830.94
2015-11-24 07:35:42	2824.1
2015-11-24 07:35:43	2820.86
2015-11-24 07:35:44	2808.12
2015-11-24 07:35:45	2814.72
2015-11-24 07:35:46	2823.24
2015-11-24 07:35:47	2819.7
2015-11-24 07:35:48	2815.68
2015-11-24 07:35:49	2816.02
2015-11-24 07:35:50	2811.17
2015-11-24 07:35:51	2796.43
2015-11-24 07:35:52	2789.46
2015-11-24 07:35:53	2779.89
2015-11-24 07:35:54	2777.94
2015-11-24 07:35:55	2777.53
2015-11-24 07:35:56	2768.62
2015-11-24 07:35:57	2753.98
2015-11-24 07:35:58	2738.41
2015-11-24 07:35:59	2730.7
2015-11-24 07:36:00	2724.5
2015-11-24 07:36:01	2719.36
2015-11-24 07:36:02	2721.7
2015-11-24 07:36:03	2721.56
2015-11-24 07:36:04	2717.97
2015-11-24 07:36:05	2715.44
2015-11-24 07:36:06	2723.11
2015-11-24 07:36:07	2716.22
2015-11-24 07:36:08	2711.96
2015-11-24 07:36:09	2712.48
2015-11-24 07:36:10	2714.39
2015-11-24 07:36:11	2711.88
2015-11-24 07:36:12	2700.29
2015-11-24 07:36:13	2689.67
2015-11-24 07:36:14	2683.83
2015-11-24 07:36:15	2671.46
2015-11-24 07:36:16	2666.6
2015-11-24 07:36:17	2660.53
2015-11-24 07:36:18	2652.31
2015-11-24 07:36:19	2648.07
2015-11-24 07:36:20	2616.03
2015-11-24 07:36:21	2574.3
2015-11-24 07:36:22	2543.04
2015-11-24 07:36:23	2519.63
2015-11-24 07:36:24	2513.48
2015-11-24 07:36:25	2509.59
2015-11-24 07:36:26	2507.48
2015-11-24 07:36:27	2504.33
2015-11-24 07:36:28	2502.0
2015-11-24 07:36:29	2495.31
2015-11-24 07:36:30	2503.75
2015-11-24 07:36:31	2501.74
2015-11-24 07:36:32	2500.69
2015-11-24 07:36:33	2502.79
2015-11-24 07:36:34	2498.91
2015-11-24 07:36:35	2495.95
2015-11-24 07:36:36	2503.06
2015-11-24 07:36:37	2507.21
2015-11-24 07:36:38	2507.01
2015-11-24 07:36:39	2513.19
2015-11-24 07:36:40	2504.44
2015-11-24 07:36:41	2508.45
2015-11-24 07:36:42	2504.62
2015-11-24 07:36:43	2510.67
2015-11-24 07:36:44	2513.0
2015-11-24 07:36:45	2515.38
